|neg|pos
835|['actually', 'didnt', 'art', 'good', 'new', 'sometimes']|['really', 'great', 'well', 'interesting', 'knowledgeable', 'clear']
836|['accessible', 'outside', '[', 'easy']|['really', 'interesting', 'bright', 'overall', 'well', 'b.']
837|['first', 'didnt', 'little', 'overwhelmed', 'much', 'nervous']|['really', 'extremely', 'always', 'art', 'great', 'enthusiastic']
840|['sometimes', 'often', 'knowledgeable', 'little', 'difficult', 'hard']|['knowledgeable', 'clearly', 'good', 'great', 'really', 'always']
842|[]|['clear', 'Not', 'well', 'interesting', 'Enthusiastic', 'far']
844|['really', 'less', 'incredibly', 'write', 'especially', 'particular']|['great', 'well', 'knowledgeable', 'really', 'good', 'extremely']
845|['critical', 'sometimes', 'whatsoever', 'fully', 'rather', 'control']|['knowledgeable', 'helpful', 'clear', 'good', 'well', 'great']
847|['little', 'reasonable', 'admittedly', 'still', 'shaky', 'important']|['nice', '[', 'subject']
848|['sometimes', 'hard', 'follow', 'really', 'together', 'exactly']|['knowledgeable', 'also', 'great', 'really', 'Tsivian', 'sometimes']
849|['barely', 'sadly', 'really', 'overall', 'disappointed', 'bad']|['great', 'excellent', 'able', 'interesting', 'nice', 'clearly']
851|['lot', 'much', 'sometimes', 'Greek', 'interested', 'different']|['enthusiastic', 'really', 'good', 'well', 'extremely', 'knowledgeable']
852|['also', 'long', 'art', 'unclear', 'sometimes', 'appropriate']|['knowledgeable', 'good', 'well', 'extremely', 'great', 'really']
853|['resistant']|['deep', 'rather', 'great', 'studentled', 'directly', 'wish']
856|['sometimes', 'already', 'understand', 'tried', 'prepared', 'lot']|['well', 'knowledgeable', 'good', 'interesting', 'sometimes', 'pleasant']
857|['always', 'high', 'specific', 'boring', 'really', 'ridiculous']|['really', 'great', 'knowledgeable', 'well', 'art', 'good']
858|['little', 'bit', 'much', 'art', 'first', 'critical']|['really', 'extremely', 'clear', 'always', 'knowledgeable', 'good']
859|[]|['great', 'helpful', 'better', 'nice', 'feedback', 'personable']
860|[]|['interesting', 'always', 'extremely', 'knowledgeable', 'find', 'problematic']
864|['actual', 'already', 'next', 'still', 'art', 'much']|['really', 'interesting', 'knowledgeable', 'approachable', 'always', 'great']
866|[]|['exquisite', 'highly', 'specialized', 'unavailable', 'otherwise']
867|['also', 'sometimes', 'art', 'uselessly', 'ton', 'terrible']|['really', 'great', 'knowledgeable', 'good', 'pretty', 'nice']
868|[]|['sometimes', 'didnt', 'ask', 'understand', 'answer', 'easy']
869|['sometimes', 'much', 'difficult', 'knowledgeable', 'often', 'dry']|['knowledgeable', 'really', 'Chinese', 'good', 'interesting', 'clear']
870|"['jade', 'real', 'unclear', ""'After"", 'none..', 'replicated']"|['clearly', 'really', 'Chinese', 'much', 'knowledgeable', 'nice']
873|['timid.', 'good', '[']|['also', 'little', 'really', 'interesting', 'improve', 'nice']
875|['Chinese', 'difficult', 'knowledgeable', 'sometimes', 'many', 'Sometimes']|['knowledgeable', 'clear', 'well', 'enthusiastic', 'art', 'subject']
877|['sometimes', 'bit', 'really', 'interesting', 'exaggeratedly', 'tried']|['knowledgeable', 'clear', 'good', 'really', 'interesting', 'helpful']
878|['casual', 'often']|['interesting', 'really', 'knowledgable', 'long', 'clearly', 'passionate']
879|['often', 'good', 'new', 'whole', 'incredibly', 'inaudible']|['clearly', 'interested', 'sometimes', 'interesting', 'understand', 'respect']
881|['lively', 'mostly', 'lecturelike', 'fellow', 'format', 'knowledgeable']|['great', 'art', 'clear', 'lecture', 'pleasant', 'deep']
882|['sometimes', 'much', 'also', 'really', 'fully', 'grasp']|['really', 'great', 'well', 'knowledgeable', 'interesting', 'helpful']
883|['really', 'sometimes', 'long', 'much', 'clear', 'outside']|['really', 'knowledgeable', 'good', 'also', 'clearly', 'great']
884|['much']|['assignment', 'artistic', 'nice', 'much', 'also', 'helpful']
886|"[""'Sadly"", 'African', 'incompetent', 'technical', 'easy', 'well']"|['nice', 'easy', 'also', 'even', 'never', 'approachable']
887|[]|['awesome', 'determine', '[', 'unique', 'truly']
891|['little', 'critical', 'subjective', 'art', 'subject', 'lacked']|['always', 'helpful', 'great', 'often', 'late', 'wonderful']
896|['[']|['knowledgeable', 'super', 'subject', 'well', 'also', 'incredibly']
897|['really', 'new', 'different']|['great', 'Really', 'seriously', 'different', 'also', 'creatively']
900|['little', 'youre', 'different', 'repetitive', 'clearly', 'always']|['always', 'much', 'helpful', 'interesting', 'sometimes', 'nice']
901|['sometimes', 'also', 'really', 'interesting', 'uncomfortable', 'nice']|['really', 'helpful', 'always', 'also', 'great', 'good']
904|['difficult', 'fast', 'fastpaced']|['much', 'also', 'interested', 'even', 'truly', 'visual']
906|['[']|['helpful', 'new', 'easy', 'significant', 'long', 'insistent']
907|[]|['enjoyable', 'insightful', 'basic/fundamental', 'greateye', 'allextremely', 'veryaccesibile']
908|['sometimes', 'guilty', 'discuss', 'much', 'great', '[']|['always', 'friendly', 'helpful', 'assigned', 'great', 'timely']
909|['lose', 'due', 'overly', 'flaws', 'leading', 'mostly']|['sometimes', 'interesting', 'really', 'well', 'knowledgeable', 'great']
911|['first', 'crazy', 'however', 'never', 'art', 'much']|['really', 'great', 'much', 'sometimes', 'never', 'enthusiastic']
912|[]|['good', 'charmingly', 'better', 'smart', 'simultaneously', 'laugh']
914|['often', 'much', 'really', 'exactly', 'stressful', 'difficult']|['really', 'great', 'nice', 'good', 'never', 'much']
915|['follow', 'never', 'hesitant']|['great', 'really', 'pretty', 'insightful', 'always', 'helpful']
916|['great', '[']|['great', 'new', 'medical', 'friendly', 'even', 'hard']
917|['instead', 'essay', 'really', 'never', 'knew', 'biggest']|['great', 'also', 'well', 'interesting', 'excellent', 'nice']
921|[]|['incredible', 'new', 'dynamic', 'enthusiastic', 'spontaneous', '[']
923|['also', 'sometimes', 'half', 'technical', 'straight', 'small']|['great', 'helpful', 'really', 'always', 'much', 'strong']
925|['sometimes', 'vague', 'high']|['really', 'great', 'nice', 'excellent', 'personable', 'super']
926|['boring', 'wonderful']|['well', 'really', 'great', 'interesting', 'important', 'easy']
927|['sometimes', 'much', 'fully', 'harsh', 'poor', 'also']|['good', 'Very', 'honest', 'different', 'art', 'interesting']
928|[]|['interesting', 'great', 'helpful', 'really', 'banter', 'always']
930|['even', 'never', 'extremely', 'evident', 'high', 'receive']|['really', 'great', 'helpful', 'awesome', 'nice', 'never']
931|[]|"['supportive', 'Sometimes', 'Poorly', 'openendedness', 'vague', ""'Creative""]"
933|['little', 'really', 'late', 'difficult', 'never', 'hard']|['great', 'really', 'good', 'helpful', 'knowledgeable', 'always']
936|['little', 'always', 'art', 'worst', 'well', 'also']|['really', 'knowledgeable', 'little', 'well', 'clear', 'good']
938|['always', 'technical', 'quality', 'great', 'constructive', 'high']|"['always', 'creative', 'great', 'clearly', ""'Really"", 'independent']"
940|"['sometimes', 'understanding', 'important', ""'Constructive"", 'often', 'i.e']"|['good', 'much', 'knowledgeable', 'really', 'explore', 'creative']
941|['ridiculous', 'sometimes', 'great', 'rarely', 'unclear', 'large']|['really', 'clearly', 'also', 'knowledgeable', 'great', 'subject']
942|['new', 'aimlessly', 'extremely', 'finish', 'boring', 'pretentious']|['great', 'sometimes', 'subject', 'energetic', 'nearly', 'important']
944|['really', 'sometimes', 'strange', 'supportive', 'serious', 'half']|"['little', 'really', ""'Theaster"", 'clear', 'good', 'personal']"
945|['[', 'knowledgeable']|[]
946|['sometimes', 'never', 'clear', 'often', 'negative', 'aesthetic']|['really', 'good', 'great', 'enthusiastic', 'much', 'helpful']
947|['little', 'poetry', 'boring', 'especially', 'structured', 'enjoy']|['great', 'art', 'back', 'unexpected', 'also', 'responsive']
948|['openness', 'noncommittal', '[', 'useful', 'meant']|['great', 'attractive', 'willing', 'interesting', 'flexible', 'always']
949|[]|['[']
950|['even', 'blasphemous', 'together', 'coherent', 'historical', 'hard']|['brilliant', 'always', 'clearly', 'knowledgeable', 'obviously', 'best']
951|['difficult', 'Very', 'sometimes', 'little', 'awkward', 'due']|['really', 'great', 'always', 'somewhat', 'easy', 'pretty']
952|['never', 'assignment', 'approachable', 'grades', 'much', 'difficult']|['great', 'really', 'constructive', 'interesting', 'little', 'independent']
953|['stronger', 'constructive', '[', 'approachable', 'wish']|['great', 'supportive', 'always', 'good', 'technical', 'willing']
954|['little', 'sometimes', 'often', 'quite', 'difficult', 'much']|['really', 'funny', 'great', 'much', 'always', 'good']
956|['vague', 'logical', 'later', 'understand', 'lessthanstellar', 'particularly']|['good', 'art', 'helpful', 'different', 'enthusiastic', 'always']
957|['really', 'uncomfortable', 'sure', 'tough', 'little', 'front']|['great', 'knowledgeable', 'really', 'documentary', 'much', 'helpful']
959|['techsavvy', 'awkwardly', 'many', 'laptop', 'always', '[']|['great', 'always', 'clearly', 'really', 'fantastic', 'new']
960|['great', 'sometimes', 'didnt', 'steady', 'expert', 'frustrated']|['really', 'much', 'awesome', 'best', 'sometimes', 'knew']
963|['hard', 'sometimes', 'never', 'really', 'incredibly', 'unclear']|['really', 'great', 'good', 'never', 'sometimes', 'always']
964|"['little', 'major', 'weird', 'enthusiastic', 'strange/go', ""'Genuinely""]"|['really', 'good', 'great', 'art', 'also', 'constructive']
965|['collaborative', 'real', 'really', 'odd', 'especially', 'often']|['great', 'helpful', 'really', 'knowledgeable', 'also', 'clear']
967|['little', 'really', 'animate', 'confusingly', 'sure', 'later']|['always', 'sometimes', 'often', 'great', 'obvious', 'well']
969|[]|['really', 'wonderful', 'overall', 'feedback', 'enthusiastic', 'wanted']
973|['never', 'quite', 'sure', 'short', 'stood']|['nice', 'wonderful', 'good', 'energetic', 'interesting', 'overly']
975|['open', 'monopolized', 'whole', 'guest', 'much']|['better', 'different', 'didactic', 'understand', 'super', 'art']
977|['maybe', 'sight', 'odd', 'later', 'difficult', 'entire']|['great', 'really', 'clearly', 'also', 'enthusiastic', 'filmic']
980|['rarely', 'rather', 'disorganized', 'unprepared', 'ramble', 'extremely']|['knowledgeable', 'often', 'clearly', 'nice', 'good', 'really']
982|['much', 'syllabus', 'contradict', 'open', 'unique', 'later']|['interesting', 'fantastic', 'really', 'incredibly', 'new', 'artistic']
983|['really', 'sometimes', 'often', 'unclear', 'also', 'difficult']|['really', 'good', 'great', 'much', 'knowledgeable', 'art']
985|[]|['[']
986|['really', 'terrible', 'roughly', 'boring', 'left', 'physical']|['great', 'really', 'much', 'clearly', 'physical', 'certainly']
988|['feedback', 'much', 'understanding', 'sarcastic', 'half', 'successful']|['better', 'well', 'really', 'incorporated', 'rarely', 'instructor']
989|['wasnt', 'great', 'really']|['always', 'abstract', 'pretty', 'great', 'harsh', '[']
991|['really', 'first', 'art', 'individual', 'much', 'shortness']|['follow', 'enough', 'likes', 'good', 'art', 'complete']
992|['always', 'new', 'concrete', 'downside', 'cant', 'well']|['really', 'good', 'nice', 'always', 'art', 'great']
993|['middle', 'next', '[', 'terrible', 'unclear']|['helpful', 'great', 'friendly', 'really', 'extremely', 'interested']
994|[]|['enthusiastic', 'really', 'various']
995|"['good', 'postmodern', 'material', 'simply', 'particularly', ""'There""]"|['really', 'sometimes', 'understanding', 'impressive', 'along', 'welcome']
997|['overwhelming', '[', 'particularly']|['sometimes', 'generally', 'artistic', 'absolutely', 'clearly', 'timely']
999|['sometimes', 'never', 'subject', 'really', 'interesting', 'excessively']|['knowledgeable', 'subject', 'great', 'well', 'clearly', 'good']
1001|[]|['always', 'interesting', 'insightful', 'clear', 'philosophical/historical', 'endlessly']
1002|['[']|['helpful', 'new', 'easy', 'significant', 'long', 'insistent']
1004|['understand', 'first', 'often', 'really', 'difficult', 'hard']|['great', 'even', 'individually', 'interesting', 'nice', 'right']
1005|['tended', 'really', '[', 'wish', 'able']|['well', 'really', 'able', 'ready', 'light', 'interesting']
1007|['effective', 'nice', 'sure']|['better', 'really', 'nice', 'also', 'good', 'individually']
1008|['great', 'really', 'difficult', '[', 'negative']|['really', 'always', 'large', 'passionate', 'structured', 'sheer']
1010|['later', 'always', 'really', 'hard', 'vague', '[']|['interesting', 'thoughtful', 'constructive', 'creative', 'well', 'incredible']
1012|['sometimes', 'always', 'satisfactory', 'clearly', 'nervous', 'complete']|['clear', 'new', 'somehow', 'nice', 'easily', 'alter']
1013|['sometimes', 'also', 'really', 'hard', 'always', 'good']|['good', 'really', 'great', 'also', 'helpful', 'art']
1014|[]|['new', 'energetic', 'tried', 'interested', 'understood', 'actually']
1015|['really', 'difficult', 'sometimes', 'hard', 'never', 'also']|['really', 'great', 'good', 'always', 'art', 'sometimes']
1016|['really', 'final', 'new', 'unusual', 'anyway', 'actually']|['great', 'really', 'best', 'open', 'much', 'awesome']
1018|['sometimes', 'unclear', 'often', 'exactly', 'clear', 'hard']|['really', 'good', 'great', 'much', 'nice', 'never']
1019|['sometimes', 'good', 'little', 'much', 'intro', 'agree']|['nice', 'clearly', 'clear', 'great', 'really', 'understanding']
1021|"[""'The"", 'insightful', 'nonetheless', 'rarely', 'difficult', 'clearly']"|['knowledgeable', 'well', 'really', 'sometimes', 'apparent', 'also']
1022|['really', 'also', 'always', 'critical', 'ever', 'never']|['really', 'great', 'good', 'clear', 'definitely', 'sometimes']
1026|[]|['new', 'farther', 'particular', 'little', 'good', 'great']
1029|['hard', 'little', 'harsh', 'critical', 'much', 'next']|['great', 'knowledgeable', 'good', 'helpful', 'always', 'sometimes']
1030|['huge', 'perhaps', 'pretty', 'difficult', 'amorphous/experimental', 'sure']|['great', 'interesting', 'always', 'extremely', 'nice', 'philosopher/academic']
1032|[]|['willing', 'always', 'great', 'really', 'Sometimes', 'individually']
1035|['sometimes', 'syllabus', 'awkward', 'little', 'isnt', 'forceful']|['always', 'good', 'passionate', 'sometimes', 'finish', 'also']
1036|['really', 'hear', 'material', 'much', 'also', 'receive']|"['art', 'encouraged', 'ahead', 'passionate', ""'Really"", 'differently']"
1039|['never', 'first', 'monopolized', 'whole', 'overwhelmed', 'modern']|['really', 'great', 'good', 'helpful', 'always', 'digital']
1041|['boring', 'repetitive', 'unmotivated', 'rarely', 'little', 'dull']|['also', 'really', 'interesting', 'understanding', 'better', 'easy']
1042|['sometimes', 'extremely', 'insightful', 'together', 'also']|['together', 'really', 'interesting', 'also', 'well', 'instead']
1043|"['major', 'reticent', 'much', 'well', ""'Only"", 'normally']"|['great', 'also', 'extremely', 'interesting', 'clearly', 'enthusiastic']
1044|['really', 'sometimes', 'difficult', 'hard', 'unclear', 'also']|['really', 'good', 'great', 'always', 'knowledgeable', 'also']
1046|['ambitious', 'potential', 'incredibly']|['really', 'also', 'responsive', 'great', 'well', 'excellent']
1050|[]|['enjoyable', 'seriously', 'super', 'well', 'great', 'general']
1053|['knowledgeable', 'extremely', 'worst', 'ever', 'also', 'great']|['great', 'really', 'knowledgeable', 'also', 'difficult', 'good']
1054|['little', 'disorganized', 'art']|['really', 'nice', 'enthusiastic', 'friendly', 'great', 'interesting']
1055|[]|['great', 'contemporary', '[']
1056|"['interesting', ""'Fantastic"", 'illogical', 'happen', 'little', 'wasnt']"|['interesting', 'great', 'really', 'good', 'knowledgeable', 'sometimes']
1057|['always', 'sometimes', 'ahead', 'art', 'particularly', 'worst']|['good', 'new', 'little', 'helpful', 'really', 'artistic']
1058|['boring', 'critical', 'understand', 'gradesI', 'rushed', '[']|['well', 'helpful', 'different', 'clear', 'appropriate', 'positive']
1059|"['much', 'unclear', 'difficult', ""'Unfortunately"", 'constructive', 'good']"|['great', 'really', 'good', 'always', 'clear', 'knowledgeable']
1060|['accessible', 'outside', '[', 'easy']|['really', 'interesting', 'bright', 'overall', 'well', 'b.']
1066|['sometimes', 'quite', 'explore', 'always', 'describe', 'nice']|['really', 'interesting', 'understand', 'odd', 'unique', 'much']
1067|['sometimes', 'follow', 'hard', 'really', 'exactly', 'main']|['knowledgeable', 'sometimes', 'also', 'really', 'never', 'interesting']
1069|['resistant']|['deep', 'rather', 'great', 'studentled', 'directly', 'wish']
1070|[]|['good', 'great', 'nice', 'helpful', 'knowledgeable', 'open']
1071|['much', 'clear', 'Not', 'stagnant']|"['good', 'great', 'basic', 'easy', 'useful', ""'Spent""]"
1072|['lot', 'Core', 'really', 'never']|['much', 'interested', 'totally', 'ample', 'productively', 'especially']
1074|[]|"['good', 'expectation.Weak', 'interesting', 'nice', ""'Approachable"", 'gallery']"
1075|"['little', 'half', '/', 'art', 'much', ""'There""]"|['long', 'incredibly', 'level', 'Absolutely', 'prepared', 'prepare']
1076|['energetic', 'especially', 'lethargy', '[', 'forgiveable']|['nice', 'really', 'sometimes', 'supportive', 'overall', 'easy']
1079|['[']|"['really', 'enjoyable', 'many', ""'Very"", 'interested', '[']"
1081|['really', 'little', 'much', 'occasionally', 'sad', 'also']|['really', 'always', 'good', 'helpful', 'great', 'knowledgeable']
1082|['always', 'really', 'negative', 'wasnt', 'particular', 'clear']|['really', 'great', 'good', 'helpful', 'always', 'knowledgeable']
1083|['timid.', 'good', '[']|['also', 'little', 'really', 'interesting', 'improve', 'nice']
1086|['often', 'good', 'new', 'whole', 'incredibly', 'inaudible']|['clearly', 'interested', 'sometimes', 'interesting', 'understand', 'respect']
1095|['hard', 'barrier', 'sometimes', 'communicate', 'understand', 'entire']|['good', 'clear', 'interesting', 'clearly', 'fast', 'sometimes']
1096|['difficult', 'end', 'clearer', 'easy', 'many', 'fairly']|['really', 'enthusiastic', 'subject', 'interesting', 'appropriate', 'far']
1097|['sometimes', 'difficult', 'longer', 'really', 'interesting', 'normal']|['good', 'sometimes', 'knowledgeable', 'even', 'never', 'enthusiastic']
1098|['difficult', 'good', 'poor', 'also', 'always', 'well']|['good', 'sometimes', 'much', 'long', 'physical', 'interesting']
1099|['carefully', 'dull', 'poorly', '[', 'incredibly']|"['slowly', 'well', 'sometimes', 'knowledgeable', 'interesting', ""'Approachable""]"
1100|[]|['really', 'best', 'ever', 'good', 'always', 'great']
1101|['hard', 'much', 'wasnt', 'exams', 'often', 'online']|['often', 'clearly', 'well', 'excellent', 'important', 'easy']
1102|['little', 'boring', 'sometimes', 'involved', 'understand.', 'particularly']|['knowledgeable', 'also', 'vast', 'mainly', 'understand', 'smart']
1103|['also', 'hard', 'accent', 'sometimes', 'pretty', 'low']|['great', 'funny', 'good', 'clearly', 'really', 'well']
1104|['always', 'necessary', 'really', 'sometimes', 'big', 'little']|['good', 'long', 'quite', 'personally', 'Very', 'slightly']
1105|['hard', 'often', 'difficult', 'understanding', 'VERY', 'nice']|['knowledgeable', 'good', 'helpful', 'really', 'Very', 'nice']
1106|['difficult', 'bit', 'fast', 'really', 'tangentially', 'deep']|['good', 'well', 'great', 'really', 'always', 'clear']
1107|['[']|['last', 'mostly', 'final', 'busy', 'easy', 'clearly']
1109|['difficult', 'long', 'often', 'tedious', 'sometimes', 'didnt']|['good', 'material', 'difficult', 'clear', 'knowledgeable', 'interesting']
1110|['difficult', 'always', 'understand', 'context', 'long', 'entirely']|['sometimes', 'even', 'ton', 'willing', 'great', 'long']
1112|['difficult', 'little', 'sometimes', 'astronomy', 'professor', 'long']|['really', 'clear', 'good', 'nice', 'helpful', 'sometimes']
1113|[]|['enthusiastic', 'good', 'new', 'ago', 'nice', 'little']
1115|['homework.No', 'real', 'reasonable', 'far', 'miss', 'also']|['great', 'also', 'well', 'general', 'enthusiastic', 'overall']
1117|[]|['lecture', 'fantastic', 'clear', 'knowledgeable', 'willing']
1118|['sometimes', 'difficult', 'longer', 'really', 'interesting', 'normal']|['good', 'sometimes', 'knowledgeable', 'even', 'never', 'enthusiastic']
1119|['material', 'sometimes', 'intimidated', 'aspect', 'dull', 'different']|['well', 'good', 'helpful', 'clear', 'hard', 'really']
1122|['real', 'closely', 'thoroughly']|['n/a', 'little', 'easily', 'field.Weakness', 'subject', 'entire']
1123|['hard', 'werent', 'interesting', 'sometimes', 'famous']|['sometimes', 'interested', 'best', 'subject', 'good', 'nice']
1124|['hard', 'really', 'sometimes', 'many', 'lame', 'galaxy']|['knowledgeable', 'clear', 'great', 'well', 'enthusiastic', 'accessible']
1125|['material', 'sometimes', 'intimidated', 'aspect', 'dull', 'different']|['well', 'good', 'helpful', 'clear', 'hard', 'really']
1127|[]|['accordingly', 'various']
1129|"['never', 'still', 'dont', 'personal', 'seriously', ""'The""]"|['really', 'great', 'always', 'much', 'fun', 'wonderful']
1130|[]|['actual', 'impressive', 'extremely', 'manageable', 'literary', 'right']
1131|[]|['obviously', 'really', 'qualified']
1134|['maybe', 'never', 'together', 'due', 'probably', 'unrelated']|['new', 'urban', 'incredibly', 'whole', 'passionate', 'often']
1139|[]|['overall', 'verbal', 'sometimes', 'understanding', 'always', 'helpful']
1143|['often', 'strong', 'far', 'Bible', 'overall', 'large']|['great', 'well', 'good', 'knowledgeable', 'really', 'clear']
1149|[]|['also', 'really', 'clear', 'always', 'complicated', 'topic']
1150|[]|['knowledgeable', 'subject', 'good', 'great', 'really', 'sometimes']
1153|['[', 'trepo']|"['good', 'Sometimes', 'wellprepared', 'brilliant', 'clearly', ""'Greatly""]"
1156|['often', 'really', 'also', 'repetitive', 'repeat', 'anyway']|['knowledgeable', 'best', 'wonderful', 'really', 'incredibly', 'clear']
1160|['fantastically', 'interestingit', 'nice', 'miss', 'also', 'teacher']|['great', 'really', 'good', 'knowledgeable', 'much', 'always']
1162|[]|['great', 'really', 'well', 'subject']
1165|[]|['never', 'often', 'always', 'extremely', 'approachable', 'much']
1371|[]|"['answer', 'entire', 'sure', '[', ""'Approachable""]"
1410|['sometimes', 'nicely', 'important', 'super', 'poor', 'also']|['funny', 'extremely', 'really', 'well', 'knowledgeable', 'interesting']
1425|['sometimes', 'vast', '[', 'drag']|['enjoyable', 'excellent', 'great', 'extremely', 'continuously', 'clinical']
1459|['little', 'unapproachable', 'mental', 'lighthearted', 'particularly', '[']|['great', 'informative', 'really', 'useful', 'also', 'knowledgeable']
1495|['sometimes', 'vast', '[', 'drag']|['enjoyable', 'excellent', 'great', 'extremely', 'continuously', 'clinical']
1571|['engage', 'always']|['well', 'new', 'didnt', 'significant', 'little', 'clearly']
1614|['instead', 'diverse', 'economic', 'emails', 'presented', 'well']|['good', 'knowledgeable', 'much', 'great', 'interesting', 'sometimes']
1615|['rather', 'Sometimes', 'whole', 'concerned', 'lead', 'opposite']|['good', 'sometimes', 'excellent', 'fewer', 'seriously', 'much']
1616|['essentially', 'always', 'touchyfeely', 'ironic', 'reluctant', 'theologian']|['fantastic', 'funny', 'also', 'strengths', 'subject', 'really']
1618|['sometimes', 'little', 'often', 'follow', 'always', 'however']|['really', 'great', 'well', 'always', 'sometimes', 'extremely']
1620|['difficult', 'hard', 'follow', 'good', 'final', 'hear']|['knowledgeable', 'great', 'guest', 'good', 'clearly', 'well']
1621|[]|['extremely', 'also', 'nicely', 'interesting', 'absolutely', 'fun']
1622|['big', 'least', 'moderate', 'often', 'discussion', 'whole']|['interesting', 'also', 'difficult', 'knowledgeable', 'great', 'clearly']
1623|['often', 'adequate', 'better', 'EVEN', 'single', 'structured']|['great', 'really', 'good', 'interesting', 'knowledgeable', 'philosophical']
1624|['Hawkely', 'little/poor', 'loneliness']|['great', 'interesting', 'much', 'good', 'different', 'many']
1625|"[""'Really""]"|['different', 'interesting', 'understand', 'great', 'motivate', 'clearly']
1627|['half', 'boring', 'long', 'however', '[', 'first']|['nice', 'great', 'read', 'open', 'new', 'important']
1630|"['often', 'broader', 'serious', 'unclear', 'merely', ""'Unclear""]"|['friendly', 'opened', 'sometimes', 'productive', 'lack', 'less']
1631|['good']|['great', 'interesting', 'together', 'funny', 'enthusiastic', 'really']
1632|['sometimes', 'little', 'uncomfortable', 'laurens', 'weak', 'intimidating']|['great', 'really', 'sometimes', 'fast', 'also', 'often']
1633|"['often', 'broader', 'serious', 'unclear', 'merely', ""'Unclear""]"|['friendly', 'opened', 'sometimes', 'productive', 'lack', 'less']
1634|[]|['good', 'always', 'insight', 'understanding', 'strengthening', 'nice']
1635|['[', 'supposedly', 'much']|['often', 'interesting', 'neat', 'useful', 'different', 'informative']
1636|['often', 'always', 'ethically/morally', 'argue', 'strain', 'different']|['great', 'sometimes', 'focused', 'important', 'difficult', 'clearly']
1637|['big', 'discussion', 'sometimes', 'whole', 'always', 'weird']|['interesting', 'clear', 'knowledgeable', 'however', 'clearly', 'dynamic']
1639|['Hawkely', 'little/poor', 'loneliness']|['great', 'enthusiastic', 'much', 'many', 'good', 'interesting']
1641|['hard', 'follow', 'slightly', 'totally', 'coordinated', 'also']|['good', 'helpful', 'great', 'knowledgable', 'interesting', 'varied']
1642|['hard', 'follow', 'slightly', 'totally', 'coordinated', 'also']|['helpful', 'great', 'interesting', 'sometimes', 'varied', 'tangential']
1643|[]|['lot', 'great', 'distinct', '[', 'right']
1644|['half', 'boring', 'long', 'however', '[', 'first']|['nice', 'great', 'read', 'open', 'new', 'important']
1645|['real', '[']|['wonderful', 'excellent', 'smart', 'lot', 'especially', 'even']
1648|['hard', 'follow', 'slightly', 'totally', 'coordinated', 'also']|['helpful', 'great', 'interesting', 'sometimes', 'varied', 'tangential']
1649|['essentially', 'always', 'touchyfeely', 'ironic', 'reluctant', 'theologian']|['fantastic', 'funny', 'also', 'strengths', 'subject', 'really']
1650|[]|['good', 'interesting', 'much', 'pretty', 'sometimes', 'often']
1651|['often', 'sometimes', 'afraid', 'better', 'philosophically', 'attend']|['great', 'good', 'really', 'interesting', 'knowledgeable', 'much']
1657|[]|['always', 'make', 'give', 'knowledgeable', 'subject']
1659|['obvious', 'large', 'material', 'seriously', 'prepared', 'terrible']|['good', 'even', 'well', 'really', 'clear', 'together']
1660|['even', 'midterm', 'final', 'incredibly', 'vague']|['great', 'good', 'global', 'public', 'better', 'excellent']
1663|['little', 'appropriate', 'good', 'difficult']|['great', 'well', 'enthusiastic', 'really', 'interesting', 'extremely']
1664|[]|['lot', 'great', 'distinct', '[', 'right']
1665|['difficult', 'first']|['good', 'different', 'able', 'understand', 'easy', 'clearly']
1666|['obvious', 'large', 'material', 'seriously', 'supposedly', 'much']|['well', 'often', 'even', 'good', 'really', 'together']
1667|['hard', 'repetitive', 'repeated', 'interesting', 'well', 'especially']|['really', 'often', 'well', 'interesting', 'clearly', 'enthusiastic']
1669|['hard', 'follow', 'slightly', 'totally', 'coordinated', 'also']|['helpful', 'great', 'interesting', 'sometimes', 'varied', 'tangential']
1670|"[""'Really""]"|['different', 'interesting', 'understand', 'great', 'motivate', 'clearly']
1671|['often', 'thorough', 'interesting', 'textual', 'senile', 'mean']|['good', 'clearly', 'often', 'approachable', 'pretty', 'clear']
1672|"[""'Absolutely"", 'major', 'especially', 'hard']"|['really', 'especially', 'great', 'interesting', 'excellent', 'totally']
1677|[]|"['little', 'supportive', ""'Assignment/Weekly"", 'official', 'limbo', 'thematic']"
1678|['rather', 'Sometimes', 'whole', 'concerned', 'lead', 'opposite']|['good', 'sometimes', 'excellent', 'fewer', 'seriously', 'much']
1679|['often', 'always', 'ethically/morally', 'argue', 'strain', 'different']|['great', 'really', 'knowledgeable', 'sometimes', 'focused', 'important']
1680|[]|[]
1682|['even', 'midterm', 'final', 'incredibly', 'vague']|['great', 'good', 'global', 'public', 'better', 'excellent']
1683|['major']|['really', 'interesting', 'excellent', 'totally', 'tried', 'often']
1684|['often', 'moderate', 'half', 'nice', 'agenda', 'different']|['length', 'figured', 'want', 'great', 'assume', 'much']
1685|['material', 'sometimes', 'intimidated', 'aspect', 'dull', 'different']|['well', 'good', 'helpful', 'clear', 'hard', 'really']
1686|[]|['always', 'make', 'give', 'knowledgeable', 'subject']
1688|['often', 'incomprehensible', 'extremely', 'mean', 'willing', 'twice']|['often', 'well', 'enthusiastic', 'great', 'difficult', 'clear']
1689|['[', 'supposedly', 'much']|['often', 'interesting', 'neat', 'useful', 'different', 'informative']
