|neg|pos
110|[]|['interesting', 'little', 'extremely', 'wholeheartedly', 'ran', 'great']
114|['often', 'difficult', 'interesting', 'vastly', 'appropriately', 'especially']|['great', 'interesting', 'knowledgeable', 'well', 'subject', 'strong']
115|['interesting', 'never', 'favorite', 'least', 'directly', 'often']|"['able', ""'Wonderful"", 'good', 'outside', 'deep', 'clearly']"
116|['interesting', 'never', 'favorite', 'least', 'directly', 'often']|"['able', ""'Wonderful"", 'good', 'outside', 'deep', 'clearly']"
119|['sometimes', 'broken', 'awkward', 'facilitating', 'still', 'later']|['really', 'interesting', 'later', 'also', 'little', 'subject']
128|['worst', 'really', 'great', 'much', 'didnt', 'egotistical']|['clearly', 'knowledgeable', 'different', 'cultural', 'wanted', 'ever']
129|[]|['interesting', 'secondary', 'analyze', 'subject', 'great', 'slightly']
130|['poorly', 'merely', 'disappointed', 'professor', 'good', '[']|['really', 'also', 'enthusiastic', 'critical', 'good', 'dont']
131|['little', 'bit', 'also', 'intimidating', 'sometimes', 'never']|['really', 'good', 'great', 'also', 'much', 'knowledgeable']
133|['sometimes', 'clear', 'often', 'real', 'new', 'sixth']|['knowledgeable', 'well', 'clearly', 'clear', 'often', 'always']
134|[]|['great', 'incredibly', 'knowledgeable', 'come']
135|['particular', 'assume', 'inquiry', 'big', 'meet', 'level']|['great', 'close', 'really', 'clearly', 'fantastic', 'productive']
136|['sometimes', 'also', 'little', 'never', 'wrong', 'subject']|['really', 'best', 'always', 'also', 'helpful', 'close']
137|['little', 'awkward', 'occasional', 'long', 'sure', 'awkwardly']|['knowledgeable', 'historical', 'good', 'clear', 'always', 'interesting']
140|['dull', 'often', 'mostly']|"['even', 'hold', ""'Especially"", 'easily', 'interested', 'incredibly']"
141|['many', 'didnt', 'universitys', 'particularly', 'major', 'necessary']|['interesting', 'much', 'clear', 'good', 'knowledgeable', 'ancient']
144|[]|['even', 'never', 'deep', 'obscure', 'close', 'professor']
145|['systematic', 'sometimes', 'good', 'topic', 'much', 'comprehensive']|['knowledgeable', 'interesting', 'fantastically', 'guy', 'asserted', 'happier']
146|[]|['enjoyable']
147|['systematic', 'sometimes', 'good', 'topic', 'much', 'comprehensive']|['knowledgeable', 'interesting', 'fantastically', 'guy', 'asserted', 'happier']
148|"['many', 'little', ""'Unfortunately""]"|['great', 'interesting', 'clear', 'really', 'knowledgeable', 'excellent']
149|['always', 'towards', 'sometime', 'highly', 'false', 'well']|['knowledgeable', 'also', 'much', 'well', 'however', 'learn']
151|"['slow', 'regularly', 'late', ""'Unfortunately""]"|['well', 'always', 'grad', 'also', 'together', 'interested']
152|['lengthy', 'sometimes', 'solely', 'readily', 'subject', 'also']|['good', 'well', 'knowledgeable', 'great', 'material', 'primary']
153|['sometimes', 'little', 'weary', 'unnecessary', 'much', 'dull']|['knowledgeable', 'late', 'much', 'well', 'sometimes', 'later']
155|['personal', 'theoretical', 'descriptive', 'nervous', 'apply', 'eventually']|['good', 'really', 'clear', 'interesting', 'useful', 'great']
