ECON 20600|3000|Economics of Information|ECON
ARTH 17510|609|Edouard Manet|ARTH
ISHU 26560|6216|Shakespeare-2: Tragds/Romances|ISHU
HMRT 29622|5901|Hist Coll:  US Women's History|HMRT
ENGL 23400|3447|Virginia Woolf|ENGL
LACS 26208|6643|History of Gender and Sexuality in Modern Latin America|LACS
"ENGL 29202|3726|Objects, Things, and Other Things|ENGL"
ARTH 17207|588|Image and Word in Chinese Art|ARTH
GEOS 33900|4377|Environmental Chemistry|GEOS
NEAA 20760|7484|Mongol and Timurid Art & Architecture|NEAA
ANTH 21414|212|Health/Wealth & Welfare:  Europe|ANTH
MATH 27400|7228|Diff Manifolds And Integration|MATH
JWSC 20121|6409|The Bible and Archaeology|JWSC
SOCI 28039|9450|Organizational Analysis of Schools & School Reform|SOCI
LACS 29412|6725|Topics in Political Economy|LACS
"ARTH 29504|848|Art, Community, Activism|ARTH"
"PLSC 24720|8386|Challenges for EU: Membrshp, Immgrtn, Hum Rts|PLSC"
LACS 22200|6577|Introduction to Political Economy of Development|LACS
"MUSI 23215|7332|Music in Mexico and Cuba, 1920-1945|MUSI"
ANTH 26612|386|Archaeological Field Studies: Readings/Research|ANTH
CMSC 27610|2053|Digital Biology|CMSC
FREN 31503|4260|Approches a l'analyse litteraire|FREN
EALC 24205|2831|From Manchuria to Manchukuo:  Imperialism and Nationalsim|EALC
PLSC 20917|8262|Conservative Political Thought|PLSC
CLCV 26811|1757|Plotinus|CLCV
NEHC 27002|7648|Introduction to the History of Central Asia-2|NEHC
SLAV 28400|9315|Avant-Garde: East Central Euro|SLAV
HIST 27108|5576|The Politics of Mass Incarceration: 1945-Present|HIST
LATN 10004|6754|Intensive Introductory Latin-1|LATN
HIST 24208|5354|Never Again! Núnca Más! Niemals wieder! The Global History of the Politics of History since 1945|HIST
MATH 19520|7190|Math Methods for Soc. Sci|MATH
ARTH 25812|756|History and Theory of the Avant Garde|ARTH
FNDL 21502|3920|The Demons|FNDL
INST 29700|6142|Reading/Research: Intl Studies|INST
CHIN 21206|1615|Journey To The West-1|CHIN
EALC 24613|2860|Representations of Japaneseness|EALC
ARTH 17910|629|Introduction to American Material Culture|ARTH
ARTH 28800|834|Art and Religion in Late Antiquity|ARTH
SOCI 20219|9402|Urban Ethnography|SOCI
RLST 12602|8804|Introduction to the New Testament|RLST
SCTH 31713|9227|Education of Cyrus and Machiavelli's Prince|SCTH
ENGL 17806|3280|Seduction and the Novel: 1760-1830|ENGL
"HIST 27207|5588|The North American West, 1500 - 1900|HIST"
ARME 20102|520|Intermediate Modern Armenian-2|ARME
ENST 28210|3861|Colonial Ecologies|ENST
CMLT 25013|1904|Plato on Poets|CMLT
ENGL 26707|3640|Modern French Poetry in Translation|ENGL
GNDR 21903|4426|Gender in Archaeological Record: Ancient Egypt - San Francisco|GNDR
BIOS 22233|1204|Comparative Vertebrate Anatomy|BIOS
PHIL 26109|8056|Plato's Aesthetics|PHIL
NEHC 26514|7645|Travel and Pilgrimage in the Roman Empire|NEHC
CLCV 25509|1728|Colonial World|CLCV
ENGL 26900|3643|Postwar US Literature|ENGL
HMRT 25102|5832|Introduction to Film Production|HMRT
LING 23900|6905|Languages Of The World|LING
HIST 22607|5254|Sovereignty: Histories and Concepts|HIST
CMST 26302|2206|Ernst Lubitsch:  An International Style|CMST
"SOSC 23263|9591|Middle Eastern Civilizations, Morocco-3|SOSC"
ANTH 21240|159|China/Taiwan: Ethnog Rep China|ANTH
PBPL 25700|7750|The Other Chicago|PBPL
MATH 27500|7229|Basic Thry Partial Diff Equ|MATH
"HIST 25012|5407|Death. Life Again."" Resuscitation in America, 1800-present""|HIST"
ARTH 21202|665|Drawing Foundations in Early Modern Europe|ARTH
REES 39023|8782|Returning the Gaze:  The West and the Rest|REES
CLCV 29800|1798|B.A. Paper Colloquium: CLCV|CLCV
"ISHU 24150|6181|Romantic Love: Cult, Phil & Psych Aspects|ISHU"
ANTH 26505|382|Non-Industrial Agriculture|ANTH
HIST 24500|5368|Reading Qing Documents|HIST
ANTH 21421|217|Practice of Anthro:  Anthro of Media|ANTH
EEUR 20766|3094|Shamans & Oral Poets of Central Asia|EEUR
"CRWR 13001|2641|Intermediate Poetry: Image, Voice and Form|CRWR"
EALC 24402|2846|History and Popular Culture in Japan|EALC
NEHC 26903|7646|History and Literature of Pakistan: Postcolonial Representations|NEHC
CHEM 11102|1548|General Chemistry-1 (var B)|CHEM
CRES 27306|2450|Narratives of Passing: American Modernism and Race|CRES
CRWR 23101|2677|Adv Workshop in Practice of Poetry|CRWR
HMRT 25400|5849|Hiroshima/Nagasaki & Beyond|HMRT
HMRT 25104|5834|Chicago Film History|HMRT
HIST 29625|5715|Hist Coll:  The European Family|HIST
HIST 23310|5288|Animals in the Middle Ages|HIST
INST 29302|6121|Us Intvn & Hum Rght/Cntrl Am-2|INST
TAPS 10600|9859|Staging Desire|TAPS
ARTH 15600|546|20th Century Art|ARTH
TAPS 23500|9900|Aerial Class with Actors Gymnasium|TAPS
ENGL 15802|3221|Food and Culture in Medieval England|ENGL
RUSS 39902|9113|6th Year Russian - Part 2|RUSS
PLSC 20209|8185|Nations and Nationalism|PLSC
PLSC 37301|8521|Weimar Political Theology: Schmitt and Strauss|PLSC
FREN 22100|4169|L'historien antillais au 19e siecle|FREN
ARME 20103|521|Intermediate Modern Armenian-3|ARME
HIST 27113|5579|Saints in the Modern World|HIST
SPAN 10300|9683|Beginning Elementary Spanish-3|SPAN
SCTH 29102|9219|Mozart's Mature Comic Operas|SCTH
EALC 25305|2889|Dream of the Red Chamber and the Culture of Late Imperial China|EALC
GNDR 28202|4509|US Latinos: Origins/Histories|GNDR
HIST 29303|5677|Human Rights-3|HIST
FNDL 21103|3897|Marsilio Ficino's On Love|FNDL
LING 25500|6924|Comparative Germanic Syntax|LING
RLST 26901|8936|Gender Norms and Deviations in South Asian Texts|RLST
CMLT 22100|1843|Narratives Suspense in European/Russian Lit/Film|CMLT
BIOS 14111|1138|Intro: Brain and Behavior|BIOS
REMS 24301|8787|Le Regne Des Passions Au XVII|REMS
HIPS 27301|4992|Medical Anthropology|HIPS
KORE 10004|6498|Intensive Introductory Korean-1|KORE
PHIL 22709|7956|Introduction to Quantum Mechanics|PHIL
CMLT 27204|1950|Realisms|CMLT
CLCV 24307|1708|Byzantine Empire: 610-1025|CLCV
RLST 22900|8868|The Italian Renaissance|RLST
MUSI 26413|7398|Modernist Movements|MUSI
BUSF 38114|1366|Economic and Historical Perspectives on Business Ethics|BUSF
"CRES 28703|2486|Baseball & American Culture, 1840-Present|CRES"
SOCI 20144|9351|War/State Formation in Early China|SOCI
PHIL 21900|7934|Aesthetics Of Hume And Kant|PHIL
"BIBL 30800|1049|Jewish Thought & Lit 1, Intro to Hebrew Bible|BIBL"
CHDV 20405|1430|Pornography and Language|CHDV
NEHC 20645|7579|History of the Fatimid Caliphate|NEHC
CLCV 27400|1771|Ancient Greek Drama & Perform Criticism|CLCV
ANTH 27350|418|Linguistic Anthropology of Contemporary Identities|ANTH
ANTH 27420|422|Language and Power|ANTH
CLCV 26916|1761|Aztecs and Romans: Antiquity in the Making of Modern Mexico|CLCV
TAPS 28452|9981|Media Ecology: Embodiment & Software|TAPS
"PSYC 27300|8730|Language, Voice, And Gender|PSYC"
CHIN 20502|1600|Fourth-Year Modern Chinese-2|CHIN
HUMA 23502|6018|Organization Of Knowledge|HUMA
EALC 19800|2782|History of Ancient China|EALC
SPAN 34001|9796|La Literatura De Las Americas: Whitman En Hispanoamerica|SPAN
CHEM 12200|1556|Honors General Chemistry-2|CHEM
CMST 23001|2102|From La Dolce Vita to the Murder of Pasolini|CMST
PHYS 12300|8140|General Physics-3|PHYS
LGLN 10215|6814|First-Year Tamil-2|LGLN
CMLT 22901|1859|Film Noir:  French and American|CMLT
PSYC 24231|8693|Methods in Computational Neuroscience|PSYC
HIST 27009|5565|Gender and Science|HIST
ISHU 28900|6246|Human Rights-3|ISHU
PHSC 13300|8130|Settlement Systems|PHSC
BIOS 25256|1265|Immunobiology|BIOS
AKKD 10102|58|Elementary Akkadian-2|AKKD
CMLT 28401|1961|Comparative Metrics|CMLT
HUMA 20703|5992|At the Piano1:  Beg Piano Studies for Non-Keyboard Players-IV|HUMA
MUSI 27300|7413|Tpcs: Hist Of Western Music-3|MUSI
HREL 32300|5910|Hindu Mythologies of Evil|HREL
"LACS 29618|6731|State Formation, Natural Resources & Property Relations|LACS"
GREK 26615|4700|Lucian|GREK
ARTH 17204|586|Japan: Ceramic Arts|ARTH
CHDV 20101|1413|Applied Statistics in Human Development Research|CHDV
CMLT 20301|1806|Archaic Poetics|CMLT
ANTH 25235|349|NGOs and Humanitarian Subjects: Politics of Humanitarian Intervention|ANTH
GNSE 22804|4571|A Global History of Sexualities|GNSE
"LACS 27105|6680|Intro to Brazilian Culture:   Essay, Fiction, Cinema and Music|LACS"
PHSC 10800|8108|Earth as a Planet:  Exploring Our Place in the Universe|PHSC
INST 29250|6118|Religion and Nation in Modern Asia|INST
PBPL 25370|7746|Social Justice and Social Policy|PBPL
CRES 14400|2332|Japan & West: 19th Cen Encount|CRES
"CRES 27320|2464|Blacks and Jews: History, Imagination, and Cultural Interactions|CRES"
HIST 27105|5573|Housing Segregation in the US|HIST
HIST 29000|5667|Latin American Religions: Old & New|HIST
PLSC 20800|8244|Machiavelli:  The Prince and the Discourses|PLSC
NEHC 20463|7541|Contemporary Hebrew Poetry|NEHC
PHIL 22710|7957|Philosophical Issues in Quantum Mechanics|PHIL
EALC 28900|2943|Classical Confucianism|EALC
GREK 10200|4665|Introduction To Attic Greek-2|GREK
CMLT 20401|1810|Jewish Thought and Literature III|CMLT
CLCV 26914|1760|Death in the Classical World: Texts and Monuments|CLCV
SOSC 14300|9495|Mind-3|SOSC
"EALC 27307|2921|Cold War in Japan & Korea:  Structures, Representations & Legacies|EALC"
"RLST 23704|8886|Calvin on Idolatry, Sovereignty, and Freedom|RLST"
CRWR 10305|2590|Fundamentals of Poetry|CRWR
"HIST 27102|5572|Lincoln: Slavery, War & the Constitution|HIST"
FNDL 22214|3959|Leviathan|FNDL
ARTV 22200|878|Introduction to Sculpture|ARTV
"PBPL 27820|7789|Schools, Communities, & Urban School Reform|PBPL"
HIST 13802|5079|The Russian Empire|HIST
"CMST 20902|2081|Cinema & the Queer Avant-Garde, 1920-1950|CMST"
ENGL 22801|3431|Caribbean Lit:Lndscpe Lit Hist|ENGL
BIOS 23232|1211|Ecology & Evolution in the Southwest|BIOS
BIOS 29271|1295|Psychology and Neurobiology of Stress|BIOS
MATH 29513|7243|Computability Theory|MATH
HIST 62205|5773|Colloq: Slavery & Abolition|HIST
